name,mana_cost,card_type,power,card_text,artist,collection,lowPrice,highPrice,front_image,back_image
"Kalamax, the Stormsire",{1}{G}{U}{R},Legendary Creature — Elemental Dinosaur,4/4,"Whenever you cast your first instant spell each turn, if Kalamax, the Stormsire is tapped, copy that spell. You may choose new targets for the copy. Whenever you copy an instant spell, put a +1/+1 counter on Kalamax.",Nicholas Gregory,Commander 2020,1.51,1.51,https://c1.scryfall.com/file/scryfall-cards/png/front/f/9/f990cd78-2165-446f-a116-ae55d7a0f00d.png?1591234251,-
"Kathril, Aspect Warper",{2}{W}{B}{G},Legendary Creature — Nightmare Insect,3/3,"When Kathril, Aspect Warper enters the battlefield, put a flying counter on any creature you control if a creature card in your graveyard has flying. Repeat this process for first strike, double strike, deathtouch, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance. Then put a +1/+1 counter on Kathril for each counter put on a creature this way.",Mathias Kollros,Commander 2020,0.7,0.7,https://c1.scryfall.com/file/scryfall-cards/png/front/e/b/ebc57f73-a517-463e-8d55-56aa996d091e.png?1591946565,-
"Kelsien, the Plague",{R}{W}{B},Legendary Creature — Human Assassin,2/2,"Vigilance, haste Kelsien, the Plague gets +1/+1 for each experience counter you have. {T}: Kelsien deals 1 damage to target creature you don't control. When that creature dies this turn, you get an experience counter.",Chris Rallis,Commander 2020,0.81,0.81,https://c1.scryfall.com/file/scryfall-cards/png/front/0/3/039d25d4-ce26-4ecf-bbf5-42187cf0230a.png?1591234267,-
"Otrimi, the Ever-Playful",{3}{B}{G}{U},Legendary Creature — Nightmare Beast,6/6,"Mutate {1}{B}{G}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Trample Whenever this creature deals combat damage to a player, return target creature card with mutate from your graveyard to your hand.",Victor Adame Minguez,Commander 2020,0.97,0.97,https://c1.scryfall.com/file/scryfall-cards/png/front/6/3/639df7bc-b87d-4bf5-8005-8eabc54e955b.png?1591234274,-
"Pako, Arcane Retriever",{3}{R}{G},Legendary Creature — Elemental Dog,3/3,"Partner with Haldan, Avid Arcanist Haste Whenever Pako, Arcane Retriever attacks, exile the top card of each player's library and put a fetch counter on each of them. Put a +1/+1 counter on Pako for each noncreature card exiled this way.",Manuel Castañón,Commander 2020,0.78,0.78,https://c1.scryfall.com/file/scryfall-cards/png/front/0/6/066c8f63-52e6-475e-8d27-6ee37e92fc05.png?1591234280,-
"Shabraz, the Skyshark",{3}{W}{U},Legendary Creature — Shark Bird,3/3,"Partner with Brallin, Skyshark Rider Flying Whenever you draw a card, put a +1/+1 counter on Shabraz, the Skyshark and you gain 1 life. {W/U}: Target Human gains flying until end of turn.",Paul Scott Canavan,Commander 2020,0.69,0.69,https://c1.scryfall.com/file/scryfall-cards/png/front/9/9/9955d172-0b24-4c61-9dee-c935a1f26da2.png?1591234288,-
"Silvar, Devourer of the Free",{3}{B}{R},Legendary Creature — Cat Nightmare,4/2,"Partner with Trynn, Champion of Freedom (When this creature enters the battlefield, target player may put Trynn into their hand from their library, then shuffle.) Menace Sacrifice a Human: Put a +1/+1 counter on Silvar, Devourer of the Free. It gains indestructible until end of turn.",Jesper Ejsing,Commander 2020,0.5,0.5,https://c1.scryfall.com/file/scryfall-cards/png/front/f/c/fc9cbc83-b9e3-4a22-948b-5a71112154c1.png?1591234295,-
"Tayam, Luminous Enigma",{1}{W}{B}{G},Legendary Creature — Nightmare Beast,3/3,"Each other creature you control enters the battlefield with an additional vigilance counter on it. {3}, Remove three counters from among creatures you control: Mill three cards, then return a permanent card with mana value 3 or less from your graveyard to the battlefield.",Sam Burley,Commander 2020,0.64,0.64,https://c1.scryfall.com/file/scryfall-cards/png/front/0/5/05b837a2-5773-4340-87f9-b4d6a43deb27.png?1591234301,-
"Ukkima, Stalking Shadow",{1}{U}{B},Legendary Creature — Whale Wolf,2/2,"Partner with Cazur, Ruthless Stalker (When this creature enters the battlefield, target player may put Cazur into their hand from their library, then shuffle.) Ukkima, Stalking Shadow can't be blocked. When Ukkima leaves the battlefield, it deals X damage to target player and you gain X life, where X is its power.",Daarken,Commander 2020,1.37,1.37,https://c1.scryfall.com/file/scryfall-cards/png/front/c/4/c44cfa67-6276-4d23-9f25-a0576bfe1d25.png?1591234307,-
"Xyris, the Writhing Storm",{2}{G}{U}{R},Legendary Creature — Snake Leviathan,3/5,"Flying Whenever an opponent draws a card except the first one they draw in each of their draw steps, create a 1/1 green Snake creature token. Whenever Xyris, the Writhing Storm deals combat damage to a player, you and that player each draw that many cards.",Filip Burburan,Commander 2020,0.97,0.97,https://c1.scryfall.com/file/scryfall-cards/png/front/4/4/447db519-7825-4330-99e7-a2429e1f6b2e.png?1591234313,-
"Yannik, Scavenging Sentinel",{2}{G}{W},Legendary Creature — Hyena Beast,3/3,"Partner with Nikara, Lair Scavenger Vigilance When Yannik, Scavenging Sentinel enters the battlefield, exile another creature you control until Yannik leaves the battlefield. When you do, distribute X +1/+1 counters among any number of target creatures, where X is the exiled creature's power.",Grzegorz Rutkowski,Commander 2020,0.46,0.46,https://c1.scryfall.com/file/scryfall-cards/png/front/1/1/11c0e89b-ab29-4739-a88e-1e7966d87d25.png?1591234319,-
"Zaxara, the Exemplary",{1}{B}{G}{U},Legendary Creature — Nightmare Hydra,2/3,"Deathtouch {T}: Add two mana of any one color. Whenever you cast a spell with {X} in its mana cost, create a 0/0 green Hydra creature token, then put X +1/+1 counters on it.",Simon Dominic,Commander 2020,2.96,2.96,https://c1.scryfall.com/file/scryfall-cards/png/front/c/0/c07de85d-343e-49e0-b438-ddf1342ab654.png?1591234329,-
Cryptic Trilobite,{X}{X},Creature — Trilobite,0/0,"Cryptic Trilobite enters the battlefield with X +1/+1 counters on it. Remove a +1/+1 counter from Cryptic Trilobite: Add {C}{C}. Spend this mana only to activate abilities. {1}, {T}: Put a +1/+1 counter on Cryptic Trilobite.",Leesha Hannigan,Commander 2020,0.15,0.15,https://c1.scryfall.com/file/scryfall-cards/png/front/a/7/a73c630c-c98d-4f8a-9e6a-2576d5fec4ee.png?1591319305,-
Avenging Huntbonder,{3}{W}{W},Creature — Human Warrior,3/3,"Double strike Whenever Avenging Huntbonder attacks, put a double strike counter on another target attacking creature.",Evyn Fong,Commander 2020,0.12,0.12,https://c1.scryfall.com/file/scryfall-cards/png/front/2/4/24ad6b07-3487-4e19-b554-196697a413df.png?1591319314,-
Call the Coppercoats,{2}{W},Instant,-,"Strive — This spell costs {1}{W} more to cast for each target beyond the first. Choose any number of target opponents. Create X 1/1 white Human Soldier creature tokens, where X is the number of creatures those opponents control.",Cristi Balanescu,Commander 2020,3.82,3.82,https://c1.scryfall.com/file/scryfall-cards/png/front/e/1/e11cb353-d864-4b22-bdaf-1d42c25f0918.png?1603729372,-
Cartographer's Hawk,{1}{W},Creature — Bird,2/1,"Flying When Cartographer's Hawk deals combat damage to a player who controls more lands than you, return it to its owner's hand. If you do, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.",Donato Giancola,Commander 2020,0.28,0.28,https://c1.scryfall.com/file/scryfall-cards/png/front/1/b/1b1d26c3-ce06-4d46-87fc-7623edae85b2.png?1591319332,-
Dismantling Wave,{2}{W},Sorcery,-,"For each opponent, destroy up to one target artifact or enchantment that player controls. Cycling {6}{W}{W} ({6}{W}{W}, Discard this card: Draw a card.) When you cycle Dismantling Wave, destroy all artifacts and enchantments.",Raoul Vitale,Commander 2020,0.59,0.59,https://c1.scryfall.com/file/scryfall-cards/png/front/9/d/9db4c1ec-ddd6-4443-8d93-8628e67aa6bb.png?1591319348,-
Flawless Maneuver,{2}{W},Instant,-,"If you control a commander, you may cast this spell without paying its mana cost. Creatures you control gain indestructible until end of turn.",Zoltan Boros,Commander 2020,10.65,10.65,https://c1.scryfall.com/file/scryfall-cards/png/front/c/9/c972abe6-c732-4745-bde4-8b51698f05be.png?1591319361,-
Herald of the Forgotten,{6}{W}{W},Creature — Cat Beast,6/6,"Flying When Herald of the Forgotten enters the battlefield, if you cast it, return any number of target permanent cards with cycling abilities from your graveyard to the battlefield.",Antonio José Manzanedo,Commander 2020,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/c/3/c3dba1c4-ee9a-4ea6-bf66-f639d38711cd.png?1591319371,-
Martial Impetus,{2}{W},Enchantment — Aura,-,"Enchant creature Enchanted creature gets +1/+1 and is goaded. (It attacks each combat if able and attacks a player other than you if able.) Whenever enchanted creature attacks, each other creature that's attacking one of your opponents gets +1/+1 until end of turn.",Aaron Miller,Commander 2020,0.01,0.01,https://c1.scryfall.com/file/scryfall-cards/png/front/2/5/25656d3d-dc5a-4085-8461-cab11b96e70a.png?1591319379,-
Verge Rangers,{2}{W},Creature — Human Scout Ranger,3/3,"First strike You may look at the top card of your library any time. As long as an opponent controls more lands than you, you may play lands from the top of your library. (You can play a land this way only if you have an available land play remaining.)",Livia Prima,Commander 2020,0.53,0.53,https://c1.scryfall.com/file/scryfall-cards/png/front/0/7/071bee6a-21ed-4776-ad78-2cc8ef5ab959.png?1591319389,-
Vitality Hunter,{3}{W},Creature — Nightmare,3/4,"Lifelink {X}{W}{W}: Monstrosity X. (If this creature isn't monstrous, put X +1/+1 counters on it and it becomes monstrous.) When Vitality Hunter becomes monstrous, put a lifelink counter on each of up to X target creatures.",Tomasz Jedruszek,Commander 2020,0.08,0.08,https://c1.scryfall.com/file/scryfall-cards/png/front/2/b/2bec0d43-f321-49eb-9402-83632d00d4be.png?1591319399,-
Crystalline Resonance,{2}{U},Enchantment,-,"Whenever you cycle a card, you may have Crystalline Resonance become a copy of another target permanent until your next turn, except it has this ability.",Joe Slucher,Commander 2020,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/9/3/93f20664-c3d0-4dbd-93dc-4f69a0cbff46.png?1591319413,-
Decoy Gambit,{2}{U},Instant,-,"For each opponent, choose up to one target creature that player controls, then return that creature to its owner's hand unless its controller has you draw a card.",Ravenna Tran,Commander 2020,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/3/9/39671ac5-c730-4ba2-a2d9-23d5ac13f12b.png?1591319425,-
Eon Frolicker,{2}{U}{U},Creature — Elemental Otter,5/5,"Flying When Eon Frolicker enters the battlefield, if you cast it, target opponent takes an extra turn after this one. Until your next turn, you and planeswalkers you control gain protection from that player. (You and planeswalkers you control can't be targeted, dealt damage, or enchanted by anything controlled by that player.)",Brian Valeza,Commander 2020,0.18,0.18,https://c1.scryfall.com/file/scryfall-cards/png/front/a/c/acaec4bf-69c8-43c1-960f-cb5b5bff660a.png?1591319436,-
Ethereal Forager,{4}{U}{U},Creature — Elemental Whale,3/3,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.) Flying Whenever Ethereal Forager attacks, you may return an instant or sorcery card exiled with Ethereal Forager to its owner's hand.",Nicholas Gregory,Commander 2020,0.34,0.34,https://c1.scryfall.com/file/scryfall-cards/png/front/9/7/97543d69-547e-41f8-9a4f-908e5eb0ee4a.png?1591319443,-
Fierce Guardianship,{2}{U},Instant,-,"If you control a commander, you may cast this spell without paying its mana cost. Counter target noncreature spell.",Randy Vargas,Commander 2020,39.37,39.37,https://c1.scryfall.com/file/scryfall-cards/png/front/4/c/4c5ffa83-c88d-4f5d-851e-a642b229d596.png?1591319453,-
Nascent Metamorph,{1}{U},Creature — Shapeshifter,1/1,"Whenever Nascent Metamorph attacks or blocks, target opponent reveals cards from the top of their library until they reveal a creature card. Nascent Metamorph becomes a copy of that card until end of turn. Then that player puts all cards revealed this way on the bottom of their library in a random order.",Brian Valeza,Commander 2020,0.13,0.13,https://c1.scryfall.com/file/scryfall-cards/png/front/6/1/61e7984b-8c20-4867-8045-4fb52cd6e2d4.png?1591319461,-
Psychic Impetus,{2}{U},Enchantment — Aura,-,"Enchant creature Enchanted creature gets +2/+2 and is goaded. (It attacks each combat if able and attacks a player other than you if able.) Whenever enchanted creature attacks, you scry 2.",Lindsey Look,Commander 2020,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/9/4/9440d3f3-f4f4-450b-ab88-0acbaeec972b.png?1591319468,-
Souvenir Snatcher,{4}{U},Creature — Bird,4/4,"Mutate {5}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Flying Whenever this creature mutates, gain control of target noncreature artifact.",Kev Walker,Commander 2020,0.25,0.25,https://c1.scryfall.com/file/scryfall-cards/png/front/f/7/f7845c68-ab08-4fb3-a1af-167ba6c8b82a.png?1591319481,-
Tidal Barracuda,{3}{U},Creature — Fish,3/4,Any player may cast spells as though they had flash. Your opponents can't cast spells during your turn.,Uriah Voth,Commander 2020,1.31,1.31,https://c1.scryfall.com/file/scryfall-cards/png/front/a/a/aacdf4c2-9bc8-400a-8ffc-d6597d8d7da9.png?1591319489,-
Boneyard Mycodrax,{2}{B},Creature — Fungus,*/*,"Boneyard Mycodrax's power and toughness are each equal to the number of other creature cards in your graveyard. Scavenge {4}{B} ({4}{B}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)",Yeong-Hao Han,Commander 2020,0.13,0.13,https://c1.scryfall.com/file/scryfall-cards/png/front/f/6/f6ac1131-8e96-46be-85e0-55844d0d2935.png?1591319498,-
Daring Fiendbonder,{3}{B},Creature — Human Warlock,5/1,"Haste Daring Fiendbonder attacks each combat if able. {1}{B}, Exile Daring Fiendbonder from your graveyard: Put an indestructible counter on target creature. Activate only as a sorcery.",Yongjae Choi,Commander 2020,0.11,0.11,https://c1.scryfall.com/file/scryfall-cards/png/front/2/7/27dd910a-a3ca-46ac-9350-f2a22496f4e6.png?1591319508,-
Deadly Rollick,{3}{B},Instant,-,"If you control a commander, you may cast this spell without paying its mana cost. Exile target creature.",Izzy,Commander 2020,16.89,16.89,https://c1.scryfall.com/file/scryfall-cards/png/front/c/6/c61fa2c0-63c0-4dc2-9f17-5a00530e3348.png?1591319517,-
Dredge the Mire,{3}{B},Sorcery,-,Each opponent chooses a creature card in their graveyard. Put those cards onto the battlefield under your control.,Lie Setiawan,Commander 2020,0.13,0.13,https://c1.scryfall.com/file/scryfall-cards/png/front/f/5/f57b4b40-bd46-4859-89f0-fa0bd04cc6e9.png?1591319524,-
Mindleecher,{4}{B}{B},Creature — Nightmare,5/5,"Mutate {4}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Flying Whenever this creature mutates, exile the top card of each opponent's library face down. You may look at and play those cards for as long as they remain exiled.",Antonio José Manzanedo,Commander 2020,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/2/b/2bf6b21a-8e18-400c-a39c-d693e487e47b.png?1591319531,-
Netherborn Altar,{1}{B},Artifact,-,"{T}, Put a soul counter on Netherborn Altar: Put your commander into your hand from the command zone. Then you lose 3 life for each soul counter on Netherborn Altar.",Titus Lunter,Commander 2020,0.24,0.24,https://c1.scryfall.com/file/scryfall-cards/png/front/5/4/541151af-f1a3-494f-858e-2c3fe447e036.png?1591319538,-
Parasitic Impetus,{2}{B},Enchantment — Aura,-,"Enchant creature Enchanted creature gets +2/+2 and is goaded. (It attacks each combat if able and attacks a player other than you if able.) Whenever enchanted creature attacks, its controller loses 2 life and you gain 2 life.",Mila Pesic,Commander 2020,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/b/5/b51e0d11-e970-4535-87ac-49ae8ad594df.png?1591319546,-
